Id,District Name,Neighborhood Name,Street,Year,Month,Weekday,Part of the day
2017S001615    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,J SEBASTIAN BACH / Ferran Agulló                  ,2017,February,Monday,Afternoon
2017S001612    ,Eixample,l'Antiga Esquerra de l'Eixample,GV CORTS CATALANES / Casanova                     ,2017,February,Monday,Afternoon
2017S001616    ,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,DALMASES / Calatrava                              ,2017,February,Monday,Afternoon
2017S001618    ,Horta-Guinardó,Horta,PG FABRA I PUIG / Hedilla                         ,2017,February,Monday,Afternoon
2017S001625    ,Horta-Guinardó,la Font d'en Fargues,PL ESTATUT                                        ,2017,February,Monday,Afternoon
2017S001619    ,Sant Martí,el Clot,INDEPENDÈNCIA                                     ,2017,February,Monday,Afternoon
2017S001617    ,Sants-Montjuïc,la Font de la Guatlla,GV CORTS CATALANES                                ,2017,February,Monday,Afternoon
2017S001613    ,Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Pl Tetuan                    ,2017,February,Monday,Afternoon
2017S001620    ,Sant Andreu,el Bon Pastor,SANT ADRIÀ                                        ,2017,February,Monday,Afternoon
2017S001623    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,RDA DALT(LLOBREGAT                                ,2017,February,Monday,Afternoon
2017S001622    ,Sarrià-Sant Gervasi,Sarrià,CAN CARALLEU / Av J. V. Foix                      ,2017,February,Monday,Afternoon
2017S001621    ,Sant Martí,Provençals del Poblenou,BILBAO / GV Corts Catalanes                       ,2017,February,Monday,Afternoon
2017S001624    ,Sant Martí,el Camp de l'Arpa del Clot,ENAMORATS                                         ,2017,February,Monday,Afternoon
2017S001628    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",PL PAU VILA                                       ,2017,February,Monday,Afternoon
2017S001626    ,Sarrià-Sant Gervasi,les Tres Torres,LÁZARO CÁRDENAS                                   ,2017,February,Monday,Afternoon
2017S001627    ,Eixample,la Dreta de l'Eixample,VALÈNCIA / Rbla Catalunya                         ,2017,February,Monday,Night
2017S001629    ,Horta-Guinardó,Sant Genís dels Agudells,CTRA SANT CUGAT                                   ,2017,February,Tuesday,Night
2017S001630    ,Sant Martí,Provençals del Poblenou,CTRA C-31                                         ,2017,February,Tuesday,Morning
2017S001635    ,Ciutat Vella,el Barri Gòtic,RDA LITORAL(LLOBRE                                ,2017,February,Tuesday,Morning
2017S001631    ,Eixample,la Sagrada Família,MALLORCA / Lepant                                 ,2017,February,Tuesday,Morning
2017S001632    ,Gràcia,Vallcarca i els Penitents,RDA DALT (BESÒS)                                  ,2017,February,Tuesday,Morning
2017S001644    ,Horta-Guinardó,el Carmel,LLOBREGÓS / Batet                                 ,2017,February,Tuesday,Morning
2017S001633    ,Les Corts,Pedralbes,PG MANUEL GIRONA                                  ,2017,February,Tuesday,Morning
2017S001636    ,Sant Martí,Provençals del Poblenou,PERE IV                                           ,2017,February,Tuesday,Morning
2017S001634    ,Nou Barris,Porta,PG FABRA I PUIG                                   ,2017,February,Tuesday,Morning
2017S001637    ,Sant Martí,el Parc i la Llacuna del Poblenou,BOLÍVIA / Badajoz                                 ,2017,February,Tuesday,Morning
2017S001640    ,Horta-Guinardó,la Teixonera,ESCORIAL / Balcells                               ,2017,February,Tuesday,Morning
2017S001641    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Bailèn                                    ,2017,February,Tuesday,Morning
2017S001638    ,Eixample,la Dreta de l'Eixample,PG GRÀCIA / Av Diagonal                           ,2017,February,Tuesday,Morning
2017S001642    ,Sants-Montjuïc,el Poble-sec,AV PARAL·LEL / Portal Sta Madrona                 ,2017,February,Tuesday,Morning
2017S001639    ,Sant Martí,el Camp de l'Arpa del Clot,VALÈNCIA                                          ,2017,February,Tuesday,Morning
2017S001643    ,Eixample,la Sagrada Família,MALLORCA / Sardenya                               ,2017,February,Tuesday,Morning
2017S001645    ,Eixample,la Sagrada Família,MALLORCA                                          ,2017,February,Tuesday,Morning
2017S001647    ,Les Corts,les Corts,EUROPA / G.V. Carles III                          ,2017,February,Tuesday,Morning
2017S001646    ,Ciutat Vella,el Raval,RDA LITORAL(LLOBRE                                ,2017,February,Tuesday,Morning
2017S001648    ,Sants-Montjuïc,el Poble-sec,LLEIDA                                            ,2017,February,Tuesday,Afternoon
2017S001655    ,Sants-Montjuïc,el Poble-sec,AV PARAL·LEL                                      ,2017,February,Tuesday,Afternoon
2017S001649    ,Eixample,el Fort Pienc,GV CORTS CATALANES / Sardenya                     ,2017,February,Tuesday,Afternoon
2017S001650    ,Nou Barris,la Trinitat Nova,RDA DALT(LLOBREGAT                                ,2017,February,Tuesday,Afternoon
2017S001652    ,Sant Andreu,Sant Andreu,CONCEPCIÓN ARENAL                                 ,2017,February,Tuesday,Afternoon
2017S001653    ,Les Corts,la Maternitat i Sant Ramon,AV MADRID                                         ,2017,February,Tuesday,Afternoon
2017S001651    ,Sarrià-Sant Gervasi,les Tres Torres,PL PRAT DE LA RIBA / Av Sarrià                    ,2017,February,Tuesday,Afternoon
2017S001656    ,Nou Barris,la Prosperitat,FLOR DE NEU                                       ,2017,February,Tuesday,Afternoon
2017S001654    ,Sants-Montjuïc,la Marina de Port,CTRA PRAT                                         ,2017,February,Tuesday,Afternoon
2017S001660    ,Nou Barris,Vilapicina i la Torre Llobeta,PG MARAGALL                                       ,2017,February,Tuesday,Afternoon
2017S001658    ,Sarrià-Sant Gervasi,el Putxet i el Farró,RDA GENERAL MITRE / Homer                         ,2017,February,Tuesday,Afternoon
2017S001657    ,Horta-Guinardó,el Baix Guinardó,LEPANT / St Antoni M Claret                       ,2017,February,Tuesday,Afternoon
2017S001659    ,Sant Martí,el Besòs i el Maresme,RBLA PRIM / Bernat Metge                          ,2017,February,Tuesday,Afternoon
2017S001661    ,Eixample,la Sagrada Família,ROSSELLÓ / Castillejos                            ,2017,February,Tuesday,Afternoon
2017S001663    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Balmes                                    ,2017,February,Tuesday,Afternoon
2017S001662    ,Horta-Guinardó,el Carmel,PANTÀ DE TREMP / Dante Alighieri                  ,2017,February,Tuesday,Afternoon
2017S001664    ,Sants-Montjuïc,Hostafrancs,TARRAGONA                                         ,2017,February,Tuesday,Afternoon
2017S001665    ,Sant Martí,el Parc i la Llacuna del Poblenou,PAMPLONA                                          ,2017,February,Tuesday,Afternoon
2017S001668    ,Eixample,la Dreta de l'Eixample,CASP / Pg Sant Joan                               ,2017,February,Tuesday,Night
2017S001666    ,Sant Andreu,el Congrés i els Indians,FELIP II                                          ,2017,February,Tuesday,Night
2017S001667    ,Ciutat Vella,el Raval,CARRETES / Sant Pacià                             ,2017,February,Tuesday,Night
2017S001671    ,Les Corts,Pedralbes,G.V. CARLES III                                   ,2017,March,Wednesday,Morning
