Date,Year,Post ID,Platform,Post Type,Content Type,Link,Post,Engagement Rate,Engagements,Reactions,Comments,Shares
2022-04-02,2022,1.51038E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510383575258079234,"So much listening to do, so little time. The #GRAMMYs are TOMORROW! ✨

Get in the GRAMMY mood with our current nominee playlist. 🎶 https://t.co/gLUKie0xFM",,6349.0,2269.0,63.0,412.0
2022-04-02,2022,1.51031E+18,Twitter,Tweet,Video,https://twitter.com/RecordingAcad/status/1510306615861387278,"One 👏 more 👏 sleep 👏

We'll meet you tomorrow at 8 PM ET / 5 PM PT on @CBS and @paramountplus for Music’s Biggest Night. Plus right here on our social channels for an inside look at exclusive moments happening live at the #GRAMMYs! https://t.co/zUFHfqbcQ8",,1663.0,355.0,17.0,59.0
2022-04-02,2022,1.51027E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510272599829487623,"She's got her drivers license and she's headed to the #GRAMMYs! 🎶

Don't miss @oliviarodrigo's stage debut during Music's Biggest Night on @CBS: https://t.co/rMmLa8edUn https://t.co/ubMyc5hnKF",,9260.0,4161.0,60.0,540.0
2022-04-02,2022,1.51036E+18,Twitter,Tweet,Photo,https://twitter.com/RecordingAcad/status/1510355395272978440,"Watch @RuPaulsDragRace's Queens recreate some of the most iconic looks. 👑 @asiaoharaland, @asiaoharaland, @Kahannamontrese, @derrickbarry, @jaidaehall, @kameronmichaels, @naomismalls, @trinitybonet, @missalexismateo, @cocomontrese3 👑

 TOMORROW @CBS: https://t.co/sGd1fNL5ke ✨ https://t.co/Zp4zzdUAN4",,2207.0,309.0,3.0,40.0
2022-04-02,2022,1.79192E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb35v-GrCh8/,"GRAMMY-winning artist & tonight’s first-ever Recording Academy Global Impact Award recipient #JohnLegend has just arrived. 🔥

🎶: @amazonmusic @rotation #BMCHonors",0.0319,14974.0,14791.0,74.0,
2022-04-02,2022,1.7919E+16,Instagram,Post,Photo,https://www.instagram.com/p/Cb4N4VJu_M0/,"The man, the myth, the #JohnLegend ⭐️

GRAMMY-winning artist John Legend accepting his Recording Academy Global Impact Award for his personal and professional achievements and contributions to the music industry. 

🎶: @amazonmusic @rotation #BMCHonors",0.0304,14764.0,14557.0,86.0,
2022-04-02,2022,1.79364E+16,Instagram,Reel,Video,https://www.instagram.com/reel/Cb3CMsMAKMB/,"GRAMMY FLASHBACK: Best New Artist. 🎶

Tune in to Music’s Biggest Night this Sunday on @CBStv. ✨ #GRAMMYs",0.1173,18387.0,17344.0,105.0,214.0
2022-04-02,2022,1.51026E+18,Twitter,Tweet,Link,https://twitter.com/RecordingAcad/status/1510262278125494273,"The 64th #GRAMMYs are right around the corner! 🎶

Our program book is your ultimate guide to navigating the biggest night in #music, and its 86 categories and hundreds of nominees. 👏 https://t.co/cktwQiC54X",,1574.0,407.0,22.0,56.0
2022-04-02,2022,7.08209E+18,TikTok,Post,Video,https://www.tiktok.com/@grammys/video/7082093824809372971?utm_campaign=tt4d_open_api&utm_source=7036369194396418050,'@cbs you ready for tomorrow? The artists have already started rolling in 👀 #GRAMMYs #LasVegas,0.0993,6860.0,6671.0,176.0,13.0
2022-04-02,2022,1.51032E+18,Twitter,Tweet,Video,https://twitter.com/RecordingAcad/status/1510318361401384963,"GRAMMY FLASHBACK 🎶 Song of the Year.

Tune in to Music's Biggest Night this Sunday on CBS ✨ #GRAMMYs https://t.co/UNgedf6mPx",,1862.0,253.0,9.0,35.0
